Código,Data da venda,Prazo (dias),Preço_Venda,Volume_Venda,Código_Cliente,Código_Produto,Código_Cidade,Código_Vendedor
138,5/18/2011,60,2.6,2308,3,8,1,1
139,5/19/2011,30,2.6,1220,4,1,2,1
140,5/20/2011,45,7.04,4841,3,2,1,3
141,5/21/2011,45,5.56,7165,2,8,2,2
142,5/22/2011,45,2.6,7000,3,1,3,3
143,5/23/2011,60,2.6,1308,4,1,2,1
144,5/24/2011,45,2.77,5749,3,7,2,2
145,5/25/2011,45,2.6,4002,2,1,2,1
146,5/26/2011,60,7.04,8083,3,2,2,1
147,5/27/2011,45,2.6,5145,4,1,2,1
148,5/28/2011,60,2.6,3991,3,1,1,1
149,5/29/2011,60,2.77,5869,2,7,2,1
150,5/30/2011,60,2.6,9053,3,1,4,1
151,5/31/2011,60,4.02,3895,4,3,2,5
152,6/1/2011,45,7.04,1510,3,2,2,1
153,6/2/2011,45,4.02,2607,2,5,2,1
154,6/3/2011,45,5.56,2734,3,6,2,1
155,6/4/2011,30,4.02,1621,4,5,1,1
156,6/5/2011,45,5.56,5689,3,6,2,1
157,6/6/2011,30,2.77,716,2,7,2,1
158,6/7/2011,30,9.6,8999,3,8,3,1
159,6/8/2011,30,2.6,2483,4,1,3,1
160,6/9/2011,30,4.02,3896,3,5,2,1
161,6/10/2011,30,7.04,9762,2,2,1,1
162,6/11/2011,45,4.02,2155,3,5,2,3
163,6/12/2011,45,5.56,3975,4,6,2,2
164,6/13/2011,45,4.02,2727,3,5,2,1
165,6/14/2011,45,5.56,6962,2,3,2,1
166,6/15/2011,45,2.77,2125,3,7,2,2
167,6/16/2011,45,9.6,7753,4,8,4,3
168,6/17/2011,60,4.02,4028,3,5,2,1
169,6/18/2011,45,2.77,7291,2,3,1,1
170,6/19/2011,60,2.77,7840,3,7,1,1
171,6/20/2011,45,2.77,3535,4,3,2,3
172,6/21/2011,60,9.6,6328,3,4,2,1
173,6/22/2011,45,5.56,9717,2,6,2,1
174,6/23/2011,45,4.02,1569,3,3,3,1
175,6/24/2011,45,5.56,9822,4,6,3,1
176,6/25/2011,30,2.77,760,3,7,2,1
177,6/26/2011,45,5.56,3048,2,6,2,1
178,6/27/2011,45,4.02,3030,3,5,3,1
179,6/28/2011,30,5.56,3063,4,3,3,1
180,6/29/2011,45,2.77,4151,3,7,2,1
181,6/30/2011,45,9.6,1511,2,4,1,1
182,7/1/2011,30,4.02,401,3,5,3,4
183,7/2/2011,45,2.77,28,4,7,2,1
184,7/3/2011,45,9.6,3269,3,4,2,1
185,7/4/2011,30,2.77,5694,2,3,1,2
186,7/5/2011,30,2.77,9810,3,7,2,1
187,7/6/2011,45,5.56,4567,4,6,1,1
188,7/7/2011,30,2.77,5581,3,7,1,2
189,7/8/2011,45,9.6,5713,2,4,2,1
190,7/9/2011,45,4.02,1999,3,5,2,1
191,7/10/2011,60,2.77,3246,4,7,1,1
192,7/11/2011,45,4.02,2434,3,5,2,1
193,7/12/2011,45,2.77,2483,2,7,1,1
194,7/13/2011,60,2.77,1763,3,3,1,1
195,7/14/2011,45,7.04,6422,3,2,1,3
196,7/15/2011,60,5.56,7330,2,8,2,2
197,7/16/2011,60,2.6,1213,3,1,3,3
198,7/17/2011,45,2.6,6332,4,1,2,1
199,7/18/2011,45,2.77,1480,3,3,2,2
200,7/19/2011,60,2.6,3839,2,8,2,1
201,7/20/2011,45,7.04,6927,3,2,2,1
202,7/21/2011,45,2.6,4297,3,1,2,2
203,7/22/2011,60,4.02,2540,4,3,3,2
204,7/23/2011,45,7.04,3575,3,2,1,1
205,7/24/2011,45,4.02,4824,2,5,2,1
206,7/25/2011,60,5.56,3457,3,6,3,2
207,7/26/2011,45,4.02,8385,4,3,2,1
208,7/27/2011,30,5.56,6294,3,6,1,1
209,7/28/2011,45,7.04,421,3,2,2,3
210,7/29/2011,45,7.04,5831,2,2,1,3
211,7/30/2011,30,7.04,530,3,2,4,3
212,7/31/2011,45,9.6,9116,4,4,3,4
213,8/1/2011,30,2.6,7981,3,1,2,1
214,8/2/2011,45,4.02,2325,2,5,4,1
215,8/3/2011,45,2.6,6036,3,1,2,2
216,8/4/2011,60,4.02,9469,4,8,3,2
217,8/5/2011,45,7.04,3751,3,2,1,1
218,8/6/2011,45,4.02,4230,2,5,2,1
219,8/7/2011,60,5.56,9719,3,6,3,2
220,8/8/2011,45,4.02,1263,4,3,2,1
221,8/9/2011,45,5.56,2417,3,3,1,1
222,8/10/2011,45,2.77,8589,2,7,2,1
223,8/11/2011,30,4.02,4462,2,3,4,1
224,8/12/2011,45,2.6,9721,3,1,2,2
225,8/13/2011,45,4.02,7499,4,3,3,2
226,8/14/2011,60,7.04,3504,3,2,1,1
227,8/15/2011,45,4.02,5152,2,5,2,1
228,8/16/2011,60,2.6,8388,3,1,2,1
229,8/17/2011,45,4.02,6218,2,5,4,1
230,8/18/2011,45,2.6,9375,3,1,2,2
231,8/19/2011,60,2.66,1223,1,1,1,1
232,8/20/2011,45,7.04,3830,2,2,2,2
233,8/21/2011,45,7.04,3172,3,2,3,3
234,8/22/2011,60,7.04,4658,4,3,3,2
235,8/23/2011,45,7.04,9273,3,3,2,3
236,8/24/2011,30,7.04,9024,2,3,1,3
237,8/25/2011,45,7.04,6912,3,2,4,3
238,8/26/2011,45,9.6,5809,4,4,3,4
239,8/27/2011,30,2.6,25,3,1,2,1
240,8/28/2011,45,4.02,4913,2,3,4,1
241,8/29/2011,30,2.6,4395,3,1,2,2
242,8/30/2011,30,4.02,7338,4,3,3,2
243,8/31/2011,45,7.04,5322,3,2,1,1
244,9/1/2011,45,4.02,8578,2,5,2,1
245,9/2/2011,30,5.56,2471,3,6,3,2
246,9/3/2011,45,4.02,5036,4,5,2,1
247,9/4/2011,45,5.56,7225,3,3,1,1
248,9/5/2011,45,2.77,1123,2,7,2,1
249,9/6/2011,60,9.6,4183,3,4,1,4
250,9/7/2011,45,4.02,2391,4,5,4,1
251,9/8/2011,60,2.77,9410,3,7,2,1
252,9/9/2011,45,2.77,820,2,8,2,1
253,9/10/2011,60,2.6,2950,3,8,1,1
254,9/11/2011,30,2.6,1688,4,1,2,1
255,9/12/2011,45,7.04,9997,3,2,1,3
256,9/13/2011,45,5.56,3479,2,8,2,2
257,9/14/2011,45,2.6,6161,3,1,3,3
258,9/15/2011,60,2.6,5032,4,1,2,1
259,9/16/2011,45,2.77,8178,3,7,2,2
260,9/17/2011,45,2.6,7903,2,1,2,1
261,9/18/2011,60,7.04,9022,3,2,2,1
262,9/19/2011,45,2.6,523,4,1,2,1
263,9/20/2011,60,2.6,2609,3,1,1,1
264,9/21/2011,60,2.77,5202,2,7,2,1
265,9/22/2011,60,2.6,2753,3,1,4,1
266,9/23/2011,60,4.02,5103,4,3,2,5
267,9/24/2011,45,7.04,4333,3,2,2,1
268,9/25/2011,45,4.02,5627,2,5,2,1
269,9/26/2011,45,5.56,3468,3,6,2,1
270,9/27/2011,30,4.02,130,4,5,1,1
271,9/28/2011,45,5.56,933,3,6,2,1
272,9/29/2011,30,2.77,1337,2,7,2,1
273,9/30/2011,30,9.6,4851,3,8,3,1
274,10/1/2011,30,2.6,8187,4,1,3,1
275,10/2/2011,30,4.02,2362,3,5,2,1
276,10/3/2011,30,7.04,3894,2,2,1,1
277,10/4/2011,45,4.02,4440,3,5,2,3
278,10/5/2011,45,5.56,5507,4,6,2,2
279,10/6/2011,45,4.02,7903,3,5,2,1
280,10/7/2011,45,5.56,6489,2,3,2,1
281,10/8/2011,45,2.77,4414,3,7,2,2
282,10/9/2011,45,9.6,1520,4,8,4,3
283,10/10/2011,60,4.02,8422,3,5,2,1
284,10/11/2011,45,2.77,7187,2,3,1,1
285,10/12/2011,60,2.77,656,3,7,1,1
286,10/13/2011,45,2.77,5130,4,3,2,3
287,10/14/2011,60,9.6,6276,3,4,2,1
288,10/15/2011,45,5.56,9426,2,6,2,1
289,10/16/2011,45,4.02,2539,3,3,3,1
290,10/17/2011,45,5.56,7972,4,6,3,1
291,10/18/2011,30,2.77,4519,3,7,2,1
292,10/19/2011,45,5.56,5081,2,6,2,1
293,10/20/2011,45,4.02,3833,3,5,3,1
294,10/21/2011,30,5.56,5601,4,3,3,1
295,10/22/2011,45,2.77,1179,3,7,2,1
296,10/23/2011,45,9.6,8899,2,4,1,1
297,10/24/2011,30,4.02,5232,3,5,3,4
298,10/25/2011,45,2.77,9677,4,7,2,1
299,10/26/2011,45,9.6,7489,3,4,2,1
300,10/27/2011,30,2.77,1147,2,3,1,2
301,10/28/2011,30,2.77,2386,3,7,2,1
302,10/29/2011,45,5.56,2596,4,6,1,1
303,10/30/2011,30,2.77,3929,3,7,1,2
304,10/31/2011,45,9.6,5263,2,4,2,1
305,11/1/2011,45,4.02,9712,3,5,2,1
306,11/2/2011,60,2.77,7847,4,7,1,1
307,11/3/2011,45,4.02,8921,3,5,2,1
308,11/4/2011,45,2.77,7630,2,7,1,1
309,11/5/2011,60,2.77,5603,3,3,1,1
310,11/6/2011,45,7.04,9992,3,2,1,3
311,11/7/2011,60,5.56,5656,2,8,2,2
312,11/8/2011,60,2.6,289,3,1,3,3
313,11/9/2011,45,2.6,7692,4,1,2,1
314,11/10/2011,45,2.77,9296,3,3,2,2
315,11/11/2011,60,2.6,2451,2,8,2,1
316,11/12/2011,45,7.04,6016,3,2,2,1
317,11/13/2011,45,2.6,179,3,1,2,2
318,11/14/2011,60,4.02,8229,4,3,3,2
319,11/15/2011,45,7.04,7007,3,2,1,1
320,11/16/2011,45,4.02,1852,2,5,2,1
321,11/17/2011,60,5.56,4755,3,6,3,2
322,11/18/2011,45,4.02,4439,4,3,2,1
323,11/19/2011,30,5.56,5456,3,6,1,1
324,11/20/2011,45,7.04,6106,3,2,2,3
325,11/21/2011,45,7.04,3721,2,2,1,3
326,11/22/2011,30,7.04,4905,3,2,4,3
327,11/23/2011,45,9.6,145,4,4,3,4
328,11/24/2011,30,2.6,7632,3,1,2,1
329,11/25/2011,45,4.02,2063,2,5,4,1
330,11/26/2011,45,2.6,6581,3,1,2,2
331,11/27/2011,60,4.02,9163,4,8,3,2
332,11/28/2011,45,7.04,6450,3,2,1,1
333,11/29/2011,45,4.02,4911,2,5,2,1
334,11/30/2011,60,5.56,520,3,6,3,2
335,12/1/2011,45,4.02,5710,4,3,2,1
336,12/2/2011,45,5.56,8001,3,3,1,1
337,12/3/2011,45,2.77,635,2,7,2,1
338,12/4/2011,30,4.02,2016,2,3,4,1
339,12/5/2011,45,2.6,5352,3,1,2,2
340,12/6/2011,45,4.02,2694,4,3,3,2
341,12/7/2011,60,7.04,424,3,2,1,1
342,12/8/2011,45,4.02,102,2,5,2,1
343,12/9/2011,60,2.6,8656,3,1,2,1
344,12/10/2011,45,4.02,1824,2,5,4,1
345,12/11/2011,45,2.6,1094,3,1,2,2
346,12/12/2011,60,2.66,5041,1,1,1,1
347,12/13/2011,45,7.04,8017,2,2,2,2
348,12/14/2011,45,7.04,9799,3,2,3,3
349,12/15/2011,60,7.04,4513,4,3,3,2
350,12/16/2011,45,7.04,7898,3,3,2,3
351,12/17/2011,30,7.04,9506,2,3,1,3
352,12/18/2011,45,7.04,8493,3,2,4,3
353,12/19/2011,45,9.6,3433,4,4,3,4
354,12/20/2011,30,2.6,9401,3,1,2,1
355,12/21/2011,45,4.02,994,2,3,4,1
356,12/22/2011,30,2.6,996,3,1,2,2
357,12/23/2011,30,4.02,8891,4,3,3,2
358,12/24/2011,45,7.04,3093,3,2,1,1
359,12/25/2011,45,4.02,7412,2,5,2,1
360,12/26/2011,30,5.56,7180,3,6,3,2
361,12/27/2011,45,4.02,9591,4,5,2,1
362,12/28/2011,45,5.56,5233,3,3,1,1
363,12/29/2011,45,2.77,4259,2,7,2,1
364,12/30/2011,60,9.6,3912,3,4,1,4
365,12/31/2011,45,4.02,6178,4,5,4,1
366,1/1/2012,60,2.77,5654,3,7,2,1
367,1/2/2012,45,2.77,4588,2,8,2,1
368,1/3/2012,60,2.6,4564,3,8,1,1
369,1/4/2012,30,2.6,2081,4,1,2,1
370,1/5/2012,45,7.04,2131,3,2,1,3
371,1/6/2012,45,5.56,5306,2,8,2,2
372,1/7/2012,45,2.6,1059,3,1,3,3
373,1/8/2012,60,2.6,6146,4,1,2,1
374,1/9/2012,45,2.77,3721,3,7,2,2
375,1/10/2012,45,2.6,6162,2,1,2,1
376,1/11/2012,60,7.04,4382,3,2,2,1
377,1/12/2012,45,2.6,5328,4,1,2,1
378,1/13/2012,60,2.6,6893,3,1,1,1
379,1/14/2012,60,2.77,4244,2,7,2,1
380,1/15/2012,60,2.6,4777,3,1,4,1
381,1/16/2012,60,4.02,8182,4,3,2,5
382,1/17/2012,45,7.04,4524,3,2,2,1
383,1/18/2012,45,4.02,8541,2,5,2,1
384,1/19/2012,45,5.56,1596,3,6,2,1
385,1/20/2012,30,4.02,7951,4,5,1,1
386,1/21/2012,45,5.56,6601,3,6,2,1
387,1/22/2012,30,2.77,1769,2,7,2,1
388,1/23/2012,30,9.6,8832,3,8,3,1
389,1/24/2012,30,2.6,8029,4,1,3,1
390,1/25/2012,30,4.02,9959,3,5,2,1
391,1/26/2012,30,7.04,1999,2,2,1,1
392,1/27/2012,45,4.02,574,3,5,2,3
393,1/28/2012,45,5.56,6031,4,6,2,2
394,1/29/2012,45,4.02,287,3,5,2,1
395,1/30/2012,45,5.56,3890,2,3,2,1
396,1/31/2012,45,2.77,8020,3,7,2,2
397,2/1/2012,45,9.6,1913,4,8,4,3
398,2/2/2012,60,4.02,4562,3,5,2,1
399,2/3/2012,45,2.77,3909,2,3,1,1
400,2/4/2012,60,2.77,3122,3,7,1,1
401,2/5/2012,45,2.77,9665,4,3,2,3
402,2/6/2012,60,9.6,474,3,4,2,1
403,2/7/2012,45,5.56,4506,2,6,2,1
404,2/8/2012,45,4.02,9816,3,3,3,1
405,2/9/2012,45,5.56,1834,4,6,3,1
406,2/10/2012,30,2.77,2963,3,7,2,1
407,2/11/2012,45,5.56,2098,2,6,2,1
408,2/12/2012,45,4.02,8282,3,5,3,1
409,2/13/2012,30,5.56,979,4,3,3,1
410,2/14/2012,45,2.77,7334,3,7,2,1
411,2/15/2012,45,9.6,5784,2,4,1,1
412,2/16/2012,30,4.02,5123,3,5,3,4
413,2/17/2012,45,2.77,2193,4,7,2,1
414,2/18/2012,45,9.6,8835,3,4,2,1
415,2/19/2012,30,2.77,390,2,3,1,2
416,2/20/2012,30,2.77,4739,3,7,2,1
417,2/21/2012,45,5.56,6959,4,6,1,1
418,2/22/2012,30,2.77,59,3,7,1,2
419,2/23/2012,45,9.6,2326,2,4,2,1
420,2/24/2012,45,4.02,3359,3,5,2,1
421,2/25/2012,60,2.77,1197,4,7,1,1
422,2/26/2012,45,4.02,8317,3,5,2,1
423,2/27/2012,45,2.77,4658,2,7,1,1
424,2/28/2012,60,2.77,8161,3,3,1,1
425,2/29/2012,45,7.04,3578,3,2,1,3
426,3/1/2012,60,5.56,3357,2,8,2,2
427,3/2/2012,60,2.6,5936,3,1,3,3
428,3/3/2012,45,2.6,401,4,1,2,1
429,3/4/2012,45,2.77,4436,3,3,2,2
430,3/5/2012,60,2.6,7213,2,8,2,1
431,3/6/2012,45,7.04,2910,3,2,2,1
432,3/7/2012,45,2.6,8647,3,1,2,2
433,3/8/2012,60,4.02,7313,4,3,3,2
434,3/9/2012,45,7.04,1238,3,2,1,1
435,3/10/2012,45,4.02,7524,2,5,2,1
436,3/11/2012,60,5.56,8477,3,6,3,2
437,3/12/2012,45,4.02,1221,4,3,2,1
438,3/13/2012,30,5.56,2333,3,6,1,1
439,3/14/2012,45,7.04,4062,3,2,2,3
440,3/15/2012,45,7.04,4125,2,2,1,3
441,3/16/2012,30,7.04,844,3,2,4,3
442,3/17/2012,45,9.6,1319,4,4,3,4
443,3/18/2012,30,2.6,5653,3,1,2,1
444,3/19/2012,45,4.02,4251,2,5,4,1
445,3/20/2012,45,2.6,5080,3,1,2,2
446,3/21/2012,60,4.02,9861,4,8,3,2
447,3/22/2012,45,7.04,1274,3,2,1,1
448,3/23/2012,45,4.02,4971,2,5,2,1
449,3/24/2012,60,5.56,579,3,6,3,2
450,3/25/2012,45,4.02,3344,4,3,2,1
451,3/26/2012,45,5.56,8415,3,3,1,1
452,3/27/2012,45,2.77,2664,2,7,2,1
453,3/28/2012,30,4.02,1056,2,3,4,1
454,3/29/2012,45,2.6,5072,3,1,2,2
455,3/30/2012,45,4.02,2937,4,3,3,2
456,3/31/2012,60,7.04,1693,3,2,1,1
457,4/1/2012,45,4.02,2135,2,5,2,1
458,4/2/2012,60,2.6,1602,3,1,2,1
459,4/3/2012,45,4.02,338,2,5,4,1
460,4/4/2012,45,2.6,7532,3,1,2,2
461,4/5/2012,60,2.66,4850,1,1,1,1
462,4/6/2012,45,7.04,2468,2,2,2,2
463,4/7/2012,45,7.04,8343,3,2,3,3
464,4/8/2012,60,7.04,1306,4,3,3,2
465,4/9/2012,45,7.04,6310,3,3,2,3
466,4/10/2012,30,7.04,5693,2,3,1,3
467,4/11/2012,45,7.04,5534,3,2,4,3
468,4/12/2012,45,9.6,2593,4,4,3,4
469,4/13/2012,30,2.6,8071,3,1,2,1
470,4/14/2012,45,4.02,1862,2,3,4,1
471,4/15/2012,30,2.6,1087,3,1,2,2
472,4/16/2012,30,4.02,8985,4,3,3,2
473,4/17/2012,45,7.04,4243,3,2,1,1
474,4/18/2012,45,4.02,4506,2,5,2,1
475,4/19/2012,30,5.56,5660,3,6,3,2
476,4/20/2012,45,4.02,4713,4,5,2,1
477,4/21/2012,45,5.56,7219,3,3,1,1
478,4/22/2012,45,2.77,2305,2,7,2,1
479,4/23/2012,60,9.6,4702,3,4,1,4
480,4/24/2012,45,4.02,5644,4,5,4,1
481,4/25/2012,60,2.77,9867,3,7,2,1
482,4/26/2012,45,2.77,6892,2,8,2,1
483,4/27/2012,60,2.6,8737,3,8,1,1
484,4/28/2012,30,2.6,5898,4,1,2,1
485,4/29/2012,45,7.04,2896,3,2,1,3
486,4/30/2012,45,5.56,8414,2,8,2,2
487,5/1/2012,45,2.6,1124,3,1,3,3
488,5/2/2012,60,2.6,9990,4,1,2,1
489,5/3/2012,45,2.77,3987,3,7,2,2
490,5/4/2012,45,2.6,1641,2,1,2,1
491,5/5/2012,60,7.04,7492,3,2,2,1
492,5/6/2012,45,2.6,267,4,1,2,1
493,5/7/2012,60,2.6,3431,3,1,1,1
494,5/8/2012,60,2.77,8077,2,7,2,1
495,5/9/2012,60,2.6,247,3,1,4,1
496,5/10/2012,60,4.02,7085,4,3,2,5
497,5/11/2012,45,7.04,9410,3,2,2,1
498,5/12/2012,45,4.02,8262,2,5,2,1
499,5/13/2012,45,5.56,900,3,6,2,1
500,5/14/2012,30,4.02,783,4,5,1,1
501,5/15/2012,45,5.56,2347,3,6,2,1
502,5/16/2012,30,2.77,3122,2,7,2,1
503,5/17/2012,30,9.6,1442,3,8,3,1
504,5/18/2012,30,2.6,3472,4,1,3,1
505,5/19/2012,30,4.02,2669,3,5,2,1
506,5/20/2012,30,7.04,1314,2,2,1,1
507,5/21/2012,45,4.02,6593,3,5,2,3
508,5/22/2012,45,5.56,5045,4,6,2,2
509,5/23/2012,45,4.02,2486,3,5,2,1
510,5/24/2012,45,5.56,9026,2,3,2,1
511,5/25/2012,45,2.77,7344,3,7,2,2
512,5/26/2012,45,9.6,314,4,8,4,3
513,5/27/2012,60,4.02,1673,3,5,2,1
514,5/28/2012,45,2.77,8179,2,3,1,1
515,5/29/2012,60,2.77,218,3,7,1,1
516,5/30/2012,45,2.77,2967,4,3,2,3
517,5/31/2012,60,9.6,5015,3,4,2,1
518,6/1/2012,45,5.56,7109,2,6,2,1
519,6/2/2012,45,4.02,2672,3,3,3,1
520,6/3/2012,45,5.56,2570,4,6,3,1
521,6/4/2012,30,2.77,767,3,7,2,1
522,6/5/2012,45,5.56,866,2,6,2,1
523,6/6/2012,45,4.02,768,3,5,3,1
524,6/7/2012,30,5.56,6322,4,3,3,1
525,6/8/2012,45,2.77,2998,3,7,2,1
526,6/9/2012,45,9.6,6612,2,4,1,1
527,6/10/2012,30,4.02,4948,3,5,3,4
528,6/11/2012,45,2.77,9427,4,7,2,1
529,6/12/2012,45,9.6,3021,3,4,2,1
530,6/13/2012,30,2.77,7461,2,3,1,2
531,6/14/2012,30,2.77,48,3,7,2,1
532,6/15/2012,45,5.56,8374,4,6,1,1
533,6/16/2012,30,2.77,8943,3,7,1,2
534,6/17/2012,45,9.6,5553,2,4,2,1
535,6/18/2012,45,4.02,9477,3,5,2,1
